appid,name,required age,publisher,genre,price,release date,system
2424820,The Adventures of LinShanHai - Chapter5:Three Trees,12,QZQ Studio,Adventure,699,"2 Jun, 2023",pc
2424850,Deep Sea Rhapsody,10,YeShu  Wu,Action,3299,"8 Jun, 2023",pc
2424970,Perfect Ninja Painter,l,SilenGames,Adventure,1699,"18 Dec, 2023",playstation
2425010,Astra And The New Constellation,l,Llocin7 Digital,Action,1665,"12 Jun, 2023",playstation
2425050,目盲/Blind - 逢夏,10,GOCORE,Adventure,699,"16 Jun, 2023",playstation
2425080,Idle: Multipliers,l,PELMENI GAMES,Indie,1379,"25 May, 2023",pc
2425090,Lost In The Shadows,12,Malastin,Action,1049,"5 Jan, 2024",playstation
2425160,Protect the Planet,l,Jether,Indie,349,"25 Dec, 2023",playstation
2425260,Roman Conquest: Rise to Power,l,LOMS Studio,Adventure,1699,"26 Apr, 2024",playstation
2425270,胡服騎射 HuFuQiShe,14,SWYG,Action,1049,"21 Jun, 2023",playstation
2425290,Project Third Eye,12,Marcel Remmers,Action,3849,"18 Aug, 2023",nintendo
2425300,MIND,l,DLS,Casual,1049,"14 Jul, 2023",pc
2425310,Sweet Hut,18,hafr,Casual,2049,"25 May, 2023",nintendo
2424370,Them's Fightin' Herds - Character/Stage: Nidra,l,Maximum Entertainment,Action,1699,"22 Feb, 2024",nintendo
2424440,Lilith Rising - Season 1,18,Jubei Games,Adventure,2350,"20 Sep, 2023",playstation
2424470,SpeedRunnerZ,10,WaximanProductions,Adventure,1049,"2 Aug, 2023",nintendo
2424630,Mansion Mystery,12,GarageVR,Adventure,1699,"4 Aug, 2023",pc
2424650,Froggy's Battle,10,Doot,Action,699,"19 Jul, 2023",pc
2424660,Game Of Evolution - Season 1,18,D7Games,Adventure,1379,"7 Aug, 2023",playstation
2424680,Capybara Supremacy!,l,I Believe in Capybara Supremacy!,Action,349,"10 Oct, 2023",nintendo
2424720,破碎之家,14,Tonny Peng,Action,349,"6 Oct, 2023",playstation
2424740,希望之城 The City Of Hope,l,家里蹲工作室,Casual,2350,"4 Mar, 2024",nintendo
2424810,Lost at Birth,18,V19games,Casual,3299,"18 Jun, 2023",nintendo
2423860,Flock Party,l,Divine Image,Racing,2649,"15 Oct, 2023",nintendo
2423940,Broken Minds,16,Dev Glitch Studios,Adventure,999,"24 May, 2023",nintendo
2423960,Lord of the Click: Interstellar Wars,l,HugePixel,Adventure,409,"23 May, 2023",playstation
2424000,Wisp Child,10,Beast Game Studios Ltd,Action,4699,"20 Oct, 2023",playstation
2424040,Maronia,l,3323,Action,349,"7 Apr, 2024",playstation
2424110,Demon Slayer -Kimetsu no Yaiba- Sweep the Board!,12,SEGA,Action,32990,"16 Jul, 2024",pc
2424160,Survivor's End,14,Ghost_RUS Games,Action,1049,"26 May, 2023",playstation
2424170,Convolution of Fear,14,ARP Softworks,Adventure,699,"29 May, 2023",nintendo
2424230,Locuras en el Banaverso,16,Newvicon Ltd,Action,4237,"30 May, 2023",playstation
2424240,Pudding,l,Katatema,Action,1379,"24 Oct, 2023",playstation
2424310,热血灵魂 王朝 ReXueLinHun Dynasty,l,None,Action,1049,"25 May, 2023",nintendo
2424320,Kawaii Neko Girls - Artbook 18+,18,Kawaii,Adventure,1699,"19 May, 2023",playstation
